id;name_en;name_ar;address;longitude;latitude;start_working_hour;end_working_hour;phone_no;mobile_no;email;country;city;image_url;status
1;Investor Designer withdrawal;Cambridgeshire;Architect Car;11421;99567;2020-04-23T00:06:04;2020-04-22T18:24:25;Lead transmitting;Direct Managed;Sydnee_Will@yahoo.com;Greenland;South Randallland;override;28150
2;utilize Djibouti Franc Executive;Sleek;Ball connecting platforms;45808;44187;2020-04-23T03:42:44;2020-04-22T20:28:18;navigating New York navigating;Innovative Village Credit Card Account;Nina.Kunde@yahoo.com;United States Minor Outlying Islands;East Damarisbury;primary Wooden;64911
3;driver model payment;Business-focused Roads Handmade Steel Chicken;Decentralized Self-enabling;19463;36848;2020-04-23T03:53:47;2020-04-22T17:26:30;Berkshire applications;info-mediaries Japan Fantastic Concrete Bacon;Kenya_Considine63@gmail.com;Serbia;South Emily;overriding Mauritania Plaza;37959
4;Dynamic Forint;RSS;Oman feed hybrid;30568;40383;2020-04-22T22:33:18;2020-04-22T19:34:45;calculate Viaduct Integration;Music;Cecil_Gerlach@yahoo.com;Denmark;Quitzonberg;online sky blue;96625
5;Orchestrator sensor overriding;Chad;Garden hardware;22611;22408;2020-04-22T19:05:03;2020-04-23T13:56:47;JBOD;virtual withdrawal Square;Saige20@yahoo.com;Burkina Faso;Careystad;Open-architected Intelligent;14860
6;turn-key dot-com;Rubber platforms;Creative circuit;53410;26420;2020-04-23T12:25:35;2020-04-23T13:11:45;benchmark THX emulation;AI;Letitia.Hayes26@gmail.com;Solomon Islands;Port Emiliano;connect Credit Card Account Tasty;85321
7;tan Innovative;Sleek;Frozen;4014;97401;2020-04-23T10:59:41;2020-04-23T01:38:31;optical Investment Account;monitor;Coy_Borer@hotmail.com;Romania;New Lafayette;Garden;50947
8;white Bermuda;Organic lavender;payment Credit Card Account;55916;54001;2020-04-23T10:57:43;2020-04-23T12:17:50;XML Chair;Identity Israel;Jackie_Mohr@gmail.com;Cameroon;Bergstromstad;invoice mindshare Taka;3054
9;robust EXE compress;Enterprise-wide;1080p recontextualize;29144;59641;2020-04-23T05:25:05;2020-04-22T16:05:14;solid state salmon HDD;Auto Loan Account Jewelery program;Jalyn_McClure79@yahoo.com;Comoros;Port Edenland;Nevada Borders Ergonomic Steel Computer;44259
10;partnerships analyzing;bluetooth Bedfordshire;orchestration navigating;70575;13680;2020-04-22T23:10:43;2020-04-23T01:58:14;multi-byte synthesize leading-edge;Fresh;Monty_Lebsack88@gmail.com;Zambia;Merrittchester;invoice;33161
